incident_id,task_id,item_id,location_id,exception_type,description,observed_quantity,expected_quantity,previous_location,resolution,resolution_category,resolution_time_seconds,operator_id,created_at
INC-0001,TASK-1001,X123,A15-B04,MISSING_ITEM,Item X123 not visible in bin A15-B04. Found 3 units in adjacent bin A15-B05.,0,3,A15-B04,Checked neighbouring bin A15-B05 and retrieved required quantity.,CHECK_NEIGHBOURING_LOCATION,195,OP-101,2026-08-20T10:15:00Z
INC-0002,TASK-1002,X124,A12-B03,BARCODE_FAILURE,Barcode label unreadable on SKU-X124. Scanned inner packaging barcode.,1,1,A12-B03,Verified item identity using alternate serial number scanning.,ALTERNATE_BARCODE_VERIFICATION,140,OP-102,2026-08-21T11:30:00Z
INC-0003,TASK-1003,X125,A20-B02,QUANTITY_MISMATCH,System expected 10 units but physical count in bin was 6 units.,6,10,A20-B02,Escalated to inventory supervisor for cycle count audit.,HUMAN_REVIEW_ESCALATED,450,OP-103,2026-08-22T09:45:00Z
INC-0004,TASK-1001,X123,A15-B04,MISSING_ITEM,MISSING_ITEM: Found item at neighbouring bin location.,0,3,A15-B04,Resolved via check neighbouring location.,CHECK_NEIGHBOURING_LOCATION,170,OP-104,2026-08-10T18:26:00Z
INC-0005,TASK-1002,X124,A12-B03,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Observed count verified with supervisor. Inventory adjusted.,0,1,A12-B03,Resolved via inventory verification.,INVENTORY_VERIFICATION,402,OP-104,2026-08-10T16:08:00Z
INC-0006,TASK-1003,X125,A20-B02,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,10,10,A20-B02,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,337,OP-102,2026-08-22T14:43:00Z
INC-0007,TASK-1004,X123,A15-B04,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,3,3,A15-B04,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,115,OP-105,2026-08-20T17:19:00Z
INC-0008,TASK-1005,X123-OVERFLOW,A15-B05,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,1,1,A15-B05,Resolved via damage exception.,DAMAGE_EXCEPTION,183,OP-104,2026-08-01T12:18:00Z
INC-0009,TASK-1006,X124,A12-B03,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,2,2,A12-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,300,OP-104,2026-08-19T17:41:00Z
INC-0010,TASK-1007,X125,A20-B02,MISSING_ITEM,"MISSING_ITEM: Bin empty, flagged for urgent cycle count refill.",0,4,A20-B02,Resolved via cycle count flagged.,CYCLE_COUNT_FLAGGED,283,OP-105,2026-08-15T15:43:00Z
INC-0011,TASK-1008,X126,A15-B04,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Physical quantity verified; system count updated after recount.,1,3,A15-B04,Resolved via inventory verification.,INVENTORY_VERIFICATION,225,OP-103,2026-08-24T10:42:00Z
INC-0012,TASK-1009,X127,A15-B03,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,5,5,A15-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,329,OP-103,2026-08-17T18:40:00Z
INC-0013,TASK-1010,X128,A15-B05,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,5,5,A15-B05,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,133,OP-103,2026-08-03T20:15:00Z
INC-0014,TASK-1011,X129,A15-B06,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,3,3,A15-B06,Resolved via damage exception.,DAMAGE_EXCEPTION,179,OP-101,2026-08-08T20:12:00Z
INC-0015,TASK-1012,X130,A12-B03,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,3,3,A12-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,319,OP-101,2026-08-02T11:30:00Z
INC-0016,TASK-1013,X131,A12-B02,MISSING_ITEM,MISSING_ITEM: Found item at neighbouring bin location.,0,3,A12-B02,Resolved via check neighbouring location.,CHECK_NEIGHBOURING_LOCATION,190,OP-105,2026-08-15T14:56:00Z
INC-0017,TASK-1014,X132,A12-B04,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Observed count verified with supervisor. Inventory adjusted.,4,5,A12-B04,Resolved via inventory verification.,INVENTORY_VERIFICATION,421,OP-104,2026-08-23T19:24:00Z
INC-0018,TASK-1015,X133,A20-B02,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,3,3,A20-B02,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,334,OP-101,2026-08-08T10:41:00Z
INC-0019,TASK-1016,X134,A20-B01,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,5,5,A20-B01,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,96,OP-104,2026-08-25T20:56:00Z
